Article,Current Form,Proposals by Political Parties,Political Party,Rationale,Proposal Type,Joint,Partner,Contributor,Commission’s Proposals,Part
প্রস্তাবনা (Preamble)'র সূচনা,,"আমরা অঙ্গীকার করিতেছি যে, যে সকল মহান আদর্শ আমাদের বীর জনগণকে জাতীয় স্বাধীনতা ও গণতন্ত্র রক্ষার সংগ্রামে আত্মনিয়োগ ও বীর শহীদদিগকে প্রাণোৎসর্গ করিতে উদ্বুদ্ধ করিয়াছিল - - জাতীয়তাবাদ, গণতন্ত্র, অর্থনৈতিক ও সামাজিক ন্যায়বিচার, সর্বশক্তিমান আল্লাহর উপর পূর্ণ আস্থা ও বিশ্বাস এবং বহুসংস্কৃতিমূলক সমাজের সেই সকল আদর্শ হবে এই সংবিধানের মূলনীতি।",বাংলাদেশ জামায়াতে ইসলামী,,Amendment,No,,Nazmul,,প্রস্তাবনা
প্রস্তাবনা (Preamble)'র সূচনা,,পঞ্চম প্যারায় ‘এতদ্বারা শব্দের পর ১৯৭১ সালের ১০ এপ্রিল তারিখের স্বাধীনতার ঘোষণাপত্রের মাধ্যমে গঠিত” শব্দসমূহ যুক্ত করতে হবে,বাংলাদেশের কমিউনিস্ট পার্টি,,Amendment,No,,Nazmul,,প্রস্তাবনা
প্রস্তাবনা (Preamble)'র সূচনা,,মুক্তিযুদ্ধের ঘোষণাপত্রকে প্রথম রিপাবলিকের প্রস্তাবনা হিসেবে গ্রহণ করে তা সংবিধানে অন্তর্ভূক্ত করতে হবে। দ্বিতীয় রিপাবলিকের প্রোক্লেমেশন জারি করে তা নতুন সংবিধানের প্রস্তাবনা হিসেবে অন্তর্ভূক্ত করতে হবে।,জাতীয় নাগরিক কমিটি,,Amendment,No,,Nazmul,,প্রস্তাবনা
প্রস্তাবনা (Preamble)'র সূচনা,,"সংবিধানের প্রস্তাবনায় জনগণের বৈধ রায়ই সরকার গঠনের ভিত্তি হিসেবে স্বীকৃতি থাকতে হবে। আমরা, বাংলাদেশের জনগণ, ১৯৭১ খ্রীষ্টাব্দের মার্চ মাসের ২৬ তারিখে স্বাধীনতা ঘোষণা করিয়া [জাতীয় মুক্তির জন্য ঐতিহাসিক সংগ্রামের] মাধ্যমে স্বাধীন ও সার্বভৌম গণজনতান্ত্রিক বাংলাদেশ প্রতিষ্ঠিত করিয়াছি; আমরা, বাংলাদেশের জনগণ, ২০২৪ খ্রীষ্টাব্দের জুলাই - আগষ্ট মাসে ছাত্র - জনতার অভুত্থানের মাধ্যমে ৫ আগষ্ট সরকারের পতন ঘটাইয়া [বৈষম্যহীন সমাজ - রাষ্ট্র গঠনের জন্য ঐতিহাসিক অভুত্থানের মাধ্যমে] গণজনতান্ত্রিক বাংলাদেশ প্রতিষ্ঠিত করিয়াছি; [আমরা অঙ্গীকার করিতেছি যে, যে সকল মহান আদর্শ আমাদের বীর জনগণকে জাতীয় মুক্তি সংগ্রামে আত্মনিয়োগ ও বীর শহীদদিগকে প্রাণোৎসর্গ করিতে উদ্বুদ্ধ করিয়াছিল - আল্লাহর প্রতি অবিচল আস্থা ও বিশ্বাস, জনগণের অংশীদারিত্ব ও প্রতিনিধিত্ব এবং শোষণ - জুলুম ও বৈষম্যমুক্ত আদর্শ - সেই সকল আদর্শ এই সংবিধানের মূলনীতি হইবে; আমরা আরও অঙ্গীকার করিতেছি যে, আমাদের রাষ্ট্রের অন্যতম লক্ষ্য হবে এমন এক শোষণ - জুলুম - বৈষম্যমুক্ত সমাজ প্রতিষ্ঠা - যেখানে সকল নাগরিকের জন্য আইনের শাসন, মৌলিক মানবাধিকার, মানবিক মর্যাদা এবং রাজনৈতিক, অর্থনৈতিক ও সামাজিক সাম্য, স্বাধীনতা ও সুবিচার নিশ্চিত হবে।",ইসলামী আন্দোলন বাংলাদেশ,,Amendment,No,,Nazmul,,প্রস্তাবনা
প্রস্তাবনা (Preamble)'র সূচনা,,"আমরা দৃঢ়ভাবে ঘোষণা করিতেছি যে, আমরা যাহাতে স্বাধীন সত্তায় সমৃদ্ধি লাভ করিতে পারি এবং মানবজাতির ন্যায়ঙ্গত আশা - আকাঙ্খার সহিত সঙ্গতি রক্ষা করিয়া আন্তর্জাতিক শান্তি ও সহযোগিতার ক্ষেত্রে পূর্ণ ভূমিকা পালন করিতে পারি, সেইজন্য বাংলাদেশের জনগণের অভিপ্রায়ের অভিব্যক্তিস্বরূপ এই সংবিধানের প্রাধান্য অক্ষুণ্ণ রাখা এবং ইহার রক্ষণ, সমর্থন ও নিরাপত্তাবিধান আমাদের পবিত্র কর্তব্য;",খেলাফত মজলিস,,Amendment,No,,Nazmul,,প্রস্তাবনা
প্রস্তাবনা (Preamble)'র সূচনা,,"আমরা, বাংলাদেশের জনগণ আমাদের স্বাধীনতা অর্জন, রাষ্ট্র গঠন এবং স্বৈরাচার দূরীকরণের জনআকাঙক্ষার দ্বারা সংকল্পবদ্ধ হইয়া, সূদূর অতীতকাল হইতে স্বাধীনতা যুদ্ধ পর্যন্ত এবং স্বাধীনতার পর হইতে জুলাই মাসের গণঅভুত্থান পর্যন্ত এই ভূখন্ডের মুক্তির জন্য সকল প্রজন্মের শহীদের প্রতি আনুগত্য রাখিয়া, অঙ্গীকার করিতেছি যে, আমাদের রাষ্ট্রের অন্যতম মূল লক্ষ্য হইবে - গণতান্ত্রিক পদ্ধতিতে এমন এক শোষণমুক্ত সমাজের প্রতিষ্ঠা, যেখানে সকল নাগরিকের জন্য সাম্য, মানবিক মর্যাদা ও সামাজিক ন্যয়বিচার নিশ্চিত হইবে; আমরা দৃঢ়ভাবে ঘোষণা করিতেছি যে, আমরা যাহাতে স্বাধীন সত্তায় সমৃদ্ধি লাভ করিতে পারি এবং মানবজাতির প্রগতিশীল আশা - আকাঙক্ষার সহিত সঙ্গতি রক্ষা করিয়া আন্তর্জাতিক শান্তি ও সহযোগিতার ক্ষেত্রে পূর্ণ ভূমিকা পালন করিতে পারি, সেই জন্য বাংলাদেশের জনগণের অভিপ্রায়ের অভিব্যক্তিস্বরূপ এই সংবিধানের প্রাধান্য অক্ষুণ্ণ রাখা এবং ইহার রক্ষণ, সমর্থন ও নিরাপত্তাবিধান আমাদের পবিত্র কর্তব্য; এতদ্বারা আমাদের এই গণপরিষদে, অদ্য চৌদ্দশ একত্তিরিশ বঙ্গাব্দের - - তারিখ, আমরা এই সংবিধান এর দ্বিতীয় পাঠ রচনা ও বিধিবদ্ধ করিয়া সমবেতভাবে গ্রহণ করিলাম।",রাষ্ট্র সংস্কার আন্দোলন,,Amendment,No,,Nazmul,,প্রস্তাবনা
প্রস্তাবনা (Preamble)'র সূচনা,,"যেহেতু, বঙ্গীয় জনপদের বাসিন্দাদের শত শত বছরের লড়াই এর গৌরবময় ইতিহাস যেমন রয়েছে, তেমনি রয়েছে আন্দোলন ও সংগ্রামের ধারাবাহিকতা। বখতিয়ার খিলজির বাংলা বিজয়ের পর থেকে সোনার বাংলা গড়বার যে পথচলা আমরা দেখেছি যেটি পূর্ণতা পেয়েছিল ইলিয়াস শাহী আমলে যা তখনকার দুনিয়ায় বাংলা সবচেয়ে ধনাঢ্য অঞ্চলে পরিনত হয়। শামসুদ্দীন ইলিয়াস শাহ বঙ্গীয় অঞ্চলকে প্রথমবারের মত একত্রিত করে বাংলা ভাষাকে রাজদরবারের পৃষ্ঠপোষকতায় অনন্য মাত্রায় নিয়ে যায়, যা ছিল সোনার বাংলার ভিত্তিমুল, আজকার স্বাধীন বঙ্গীয় রাষ্ট্রের সূতিকাগার। ফলস্বরূপ, ষোড়শ, সপ্তদশ ও অষ্টাদশ শতাব্দীতে ঔপনিবেশিকদের শ্যেন দৃষ্টি পড়েছিল মোঘল সাম্রাজ্যের সবচেয়ে সমৃদ্যশালী অঞ্চল বাংলার ওপর; যেহেতু, ১৭৫৭ সালের ২৩ জুন পলাশীর আম্রকাননে দেশীয় বেঈমান ও বিদেশী দখলদারদের যৌথ ষরযন্ত্রে কয়েকশত বছরের সকল অর্জন পরাধীনতার শৃঙ্খলে আবদ্ধ হয়ে যায়; যেহেতু, ১৭৭৬ সালের দূর্ভিক্ষ ও ১৭৯৩ সালের চিরস্থায়ী বন্দোবস্ত বা জমিদারি প্রথা চালুর মধ্য দিয়ে দুই স্তরের ঔপনিবেশিক শাসনের বিরুদ্ধে আমাদের লড়াই ছিল নিরন্তর; যেহেতু, বীর চট্টলার শহীদ হাবিলদার রজব আলী খাঁর নেতৃত্বে শুরু হওয়া ১৮৫৭ সালের প্রথম আজাদীর আন্দোলন পুরো জাতির চৈতন্যকে জাগরিত করে, যা ১৯০৫ সালে বঙ্গভঙ্গের মাধ্যমে শাসকগোষ্ঠীকে প্রশাসনিক ন্যায্যতা প্রতিষ্ঠায় বাধ্য করে, যদিও তা দীর্ঘায়িত করা যায়নি; যেহেতু, ১৯০৬ সালে মুসলিম লীগ প্রতিষ্ঠিত হয়, ১৯২১ সালে ঢাকা বিশ্ববিদ্যালয় প্রতিষ্ঠা লাভ করে এবং ১৯৪০ সালে লাহোর প্রস্তাবের ভিত্তিতে ঔপনিবেশিক শাসন ও জমিদারী শোষণের অবসানের প্রত্যয়ে পাকিস্তান আন্দোলনের মাধ্যমে ১৯৪৭ সালে একটি নতুন রাষ্ট্র গঠিত হয়, যেখানে প্রজাস্বত্ত বাতিল আইন করে জমিদারি প্রথা বাতিল করাও ছিল চলমান ১৯০ বছরের লড়াইয়ের একটি অনন্য অধ্যায়; যেহেতু, স্বাধীনতার দীর্ঘদিনের আন্দোলনের ফলস্বরুপ ১৯৪৭ সালের ১৪ আগষ্ট পাকিস্তান নামক রাষ্ট প্রতিষ্ঠা হলেও জন্মের অব্যবহিত পর থেকেই পাকিস্তান শাসকগোষ্ঠির বৈষম্যমূলক আচরন, গনতন্ত্রহীনতা ও পূর্বপাকিস্তানের জনগনের প্রত্যাশা পুরনে ব্যর্থ হওয়ায় বৈষম্যহীন একটা জনগনের রাষ্ট্র বানানোর আকাঙ্খা থেকে ১৯৭১ সালে আবারো মুক্তির লড়াই এ অবতীর্ন হতে হয় এই জনপদের বাসিন্দাদেরকে; যেহেতু, স্বাধীনতার দীর্ঘদিন পরেও স্বাধীনতার ঘোষনাপত্রের তিন মূলনীতি সাম্য, মানবিক মর্যাদা, সামাজিক সুবিচার' এর ভিত্তিতে জনগনের রাষ্ট্র (রিপাবলিক) গঠনে পুরানো ব্যবস্থা ব্যর্থ ও অকার্যকর হয়ে রাষ্ট্রকাঠামো নিজেই জনগনের অধিকার রক্ষায় প্রতিবন্ধক হয়ে দাড়িয়েছে এবং এজন্য রাষ্ট্রের সাথে নাগরিকের যে বন্দোবস্ত তা নতুন করে নবায়ন করা জরুরী হয়ে পড়েছে; যেহেতু, বারবার জনগনকে একদলীয়, সামরিক - বেসামরিক ও বংশীয় স্বৈরশাসকদের শৃঙ্খলে পৃষ্ট করা হয়েছে, মুক্তির আকাঙ্খাকে ৫৩ বছর ধরে বিভিন্নভাবে ধুলিস্যাত করে দেয়া হয়েছে। বৈষম্য, গণতন্ত্রহীনতা আর জুলুমের আষ্টেপিষ্টে কোটি কোটি বনী আদমকে বন্দী করে রাখা হয়েছে এবং ২০২৪ এর জুলাই - আগষ্টে ছাত্র - জনতার এক যৌথ গনঅভ্যুত্থানের মধ্য দিয়ে দীর্ঘ সময় ধরে চলা ফ্যাসিবাদী শোষনের অবসান হবার মধ্য দিয়ে প্রথম প্রজাতন্ত্রের পতন হয়েছে; যেহেতু, দেশের কোটি কোটি তরুন, ফ্যাসিবাদ বিরোধী রাজনৈতিক দল, এবং নাগরিক সমাজ প্রায় দুই হাজার শহীদের আত্মত্যাগের প্রতি শ্রদ্ধা জানিয়ে দেশের দেয়ালে দেয়ালে, মিছিলে আর শ্লোগানে নতুন বাংলাদেশ গড়বার প্রত্যয় ব্যক্ত করেছে; তাই পুরাতন আমলের বন্দোবস্ত পরিবর্তন করে নতুন সামাজিক চুক্তি প্রণয়ন জরুরী হয়ে পড়েছে; যেহেতু, প্রথম রিপাবলিক ব্যর্থ হয়েছে এবং স্বাধীনতার ঘোষনাপত্রের আলোকে বাংলাদেশ - ২.০ গড়বার লক্ষ্যে দ্বিতীয় জনতান্ত্রিক রাষ্ট্র (Second Republic), প্রতিষ্ঠা অপরিহার্য হয়ে পড়েছে। সেহেতু, ১৯৪৭ এ কৃষক - প্রজার রাষ্ট্র বিনির্মান, ১৯৭১ এ বৈষম্যহীন ইনসাফভিত্তিক সমাজ গঠনের রক্তাক্ত লড়াই সহ ২০২৪ এর গনঅভ্যুত্থানের প্রত্যাশা পুরনে সাম্য, মানবিক মর্যাদা ও সামাজিক সুবিচারের ভিত্তিতে, বাংলাদেশের মানুষের শত শত বছরের যাপিত জীবনের মুল্যবোধ, অভিজ্ঞতা ও ঐতিহ্যের আলোকে একটি কল্যানরাষ্ট্র প্রতিষ্ঠিত হবে যার মালিকানা বাংলাদেশের জনগনের উপর ন্যাস্ত করা হলো। - - - প্রস্তাবনায় যুক্ত করতে হবে",আমার বাংলাদেশ পার্টি (এবি পার্টি),,Amendment,No,,Nazmul,,প্রস্তাবনা
প্রস্তাবনা (Preamble)'র সূচনা,,"৭২ সালের সংবিধান বাতিল ও বিলোপ চাই। নতুন সংবিধানের জন্য জাতীয় পরিষদের নির্বাচন নয় - সংবিধান সভার নির্বাচিন দিতে হবে। যে সংবিধান সভা উপরোক্ত আলোকে সংবিধান রচনা, প্রস্তুত ও পাশ করবে। সংবিধান রচনা ও প্রস্তুত করার পর এই সংবিধান সভা পার্লামেন্ট (আইন পরিষদ) হিসাবে কাজ করবে।",জাতীয় গণফ্রন্ট,,Addition,No,,Nazmul,,প্রস্তাবনা
প্রস্তাবনা (Preamble)'র সূচনা,,"তৎকালীন পাকিস্তানে আন্তর্জাতিক শত্রু হিসেবে চিহ্নিত ছিলো ভারতীয় আধিপত্যবাদ, মার্কিন, রুশ ও চীনসহ সকল সামাজ্যবাদী শোষণ ও নিপীড়ন উচ্ছেদ দ্বিতীয়ত: অভ্যন্তরীণভাবে জনগণের শোষক হচ্ছে আমলা - দালাল লুটের পুঁজি ও সামন্ত অবশেষ শ্রেণীর অবসান। সংবিধানে এটা স্পষ্টভাবে লিখিত থাকা প্রয়োজন।",জাতীয় গণফ্রন্ট,,Addition,No,,Nazmul,,প্রস্তাবনা
প্রস্তাবনা (Preamble)'র সূচনা,,"আমরা রাষ্ট্রের ক্ষমতা কাঠামোর মধ্যে ভারসাম্যপূর্ণ পরিবর্তন আনার প্রয়োজনীয় ধারা এবং বিধিমালা সংবিধানে সংযোজিত দেখতে চাই। যা মুক্তিযুদ্ধের তিনটি মূলনীতিকে ধারণ করবে, ২৪ এর গণঅভ্যুত্থানের স্বপ্নকে বাস্তবায়িত করবে এবং ফ্যাসিবাদকে চিরতরে রুখে দিবে .",জাতীয়তাবাদী গণতান্ত্রিক আন্দোলন (এনডিএম),,Addition,No,,Nazmul,,প্রস্তাবনা
প্রস্তাবনা (Preamble)'র সূচনা,,"নতুন বাংলাদেশের মেগনাকার্টা - বাংলা বসন্ত, Monsoon Revolution', এর সনদ নতুন করে লিখবার পক্ষে মত দিচ্ছে যা জনগণের অধিকারসমূহ এবং স্বাধীনতার উজ্জ্বল প্রত্যাশাকে প্রতিফলিত করবে। এটা আকারে ছোট, সাধারনভাবে বোধগম্য চলিত ভাষায় লিখিত হওয়াটা জরুরী, যেখানে শুধু রাষ্ট্রের কাঠামো ও মূলনীতি বিবৃত থাকবে, কোন পদ্ধতিগত ধারা নয়।",আমার বাংলাদেশ পার্টি (এবি পার্টি),,Addition,No,,Nazmul,,প্রস্তাবনা
প্রস্তাবনা (Preamble)'র সূচনা,,বাংলা এর সঠিক বানান বাঙলা পুনর্লিখন করতে হবে,বাংলাদেশ কল্যাণ রাষ্ট্র,,Addition,No,,Nazmul,,প্রস্তাবনা
প্রস্তাবনা (Preamble)'র সূচনা,,দেশের নাম বাংলাদেশ পুনলিখন,বাংলাদেশ কল্যাণ রাষ্ট্র,,Addition,No,,Nazmul,,প্রস্তাবনা
প্রস্তাবনা (Preamble)'র সূচনা,,সরকারের নাম বাংলাদেশ সরকার,বাংলাদেশ কল্যাণ রাষ্ট্র,,Addition,No,,Nazmul,,প্রস্তাবনা
